"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-67b82c46f9fd4cbebdbe096f9a39aa89","AccessRelationship","","","id-736465","id-736043",""
"id-80b10f0ef7b942cab0c011c6b9043365","AccessRelationship","","","id-736393","id-736033",""
"id-564e350290c54a72b02bb454b272ab1c","AccessRelationship","","","id-718772","id-469480",""
"id-756d801f411b4690ab7d81aab57c0a55","AccessRelationship","","","id-718791","id-723114",""
"id-2bc743d264d742109131347762ac30d5","AccessRelationship","","","id-736493","id-470995",""
"id-63cfc2965ee94645bd2b8107c21bfb7f","AccessRelationship","","","id-718833","id-736051",""
"id-28287e715a3e4da59f808f220e337e70","AccessRelationship","","","id-718718","id-469215",""
"id-99f7320a0a0840eebe9fa99218f43aa6","AccessRelationship","","","id-736432","id-736015",""
"id-6900117b49b9408fbcebe28b57cc7e47","AccessRelationship","","","id-718765","id-722964",""
"id-be1920f6fc634d74bd3a43fd64652c7d","AccessRelationship","","","id-718736","id-722996",""
"id-97c5ffcfa89b4f938b9ead3378021203","AccessRelationship","","","id-736545","id-736170",""
"id-269621bcebe046debac94181091f0112","AccessRelationship","","","id-718738","id-470200",""
"id-3799da3eded6446f8489e66a157001ef","AccessRelationship","","","id-736343","id-736144",""
"id-45a65f0b4f90401895ce49cffba94216","AccessRelationship","","","id-736360","id-736148",""
"id-4b5202a5a453469faee91b80c9eb64a1","AccessRelationship","","","id-718720","id-723122",""
"id-be18b7f609dd495d98c9c59cdba4575c","AccessRelationship","","","id-718835","id-736110",""
"id-4a35c633fa4a4b5babfedffcfb34daf8","AccessRelationship","","","id-736312","id-736108",""
"id-3393a433fda544ce993289bf5314ef48","AccessRelationship","","","id-718702","id-481149",""
"id-9cd005dccafb495d86256b521a3ca57d","AccessRelationship","","","id-718744","id-475596",""
"id-ce1fefd0cf9447278f2eed6d0623b044","AccessRelationship","","","id-718844","id-736134",""
"id-6dd4cdef75f84716a5c49539d93fb81a","AccessRelationship","","","id-718711","id-469961",""
"id-f4c1dd1fef584fe0bdd48abe0768fc44","AccessRelationship","","","id-718802","id-479419",""
"id-352ea6e8b9ac4d829e07185d4efd8b07","AccessRelationship","","","id-718838","id-736102",""
"id-afbf4d8db86345f2aa50dc92468e5aaf","AccessRelationship","","","id-718769","id-469427",""
"id-dcbbeea4cd7b473783b0a6f2102ef397","AccessRelationship","","","id-718331","id-729673",""
"id-d022448973c444af9b0d441d5b26c0af","AccessRelationship","","","id-718728","id-470230",""
"id-58e805980eb944c69bef395e802dd2c7","AccessRelationship","modification","","id-718793","id-469105",""
"id-273b21378e124ab2b9c6c62fca215b57","AccessRelationship","modification","","id-718732","id-469105",""
"id-f6ab90ac6e2b4f79a20c5b86f777eff0","AccessRelationship","modification","","id-711337","id-729661",""
"id-88869fb7a6f6409c853dd3305754c9b5","AccessRelationship","modification","","id-718724","id-469105",""
"id-3f4452b931c54d979f1e0621901a6ded","AccessRelationship","modification","","id-718748","id-469451",""
"id-60589b83514c43d7afa60b9135dd7016","AccessRelationship","modification","","id-718695","id-472136",""
"id-33a53400f96347a78d287d6f85591d10","AccessRelationship","modification","","id-718730","id-469215",""
"id-9fd31262ee4946f39aeb8cf0f26c8bb3","AccessRelationship","modification","","id-718725","id-472136",""
"id-4daac4e1328d4f9ca54f92a52fd4d7c6","AccessRelationship","modification","","id-718694","id-468873",""
"id-d38c6da9a6b042d1b4811e8f1da07291","AccessRelationship","modification","","id-718701","id-469165",""
"id-99740e1b20c34723ae98d11a6631ffcd","AccessRelationship","modification","","id-718717","id-469274",""
"id-8de473701d3b422ca73e85457abcc55d","AccessRelationship","modification","","id-718729","id-469165",""
"id-4fc181ce3dab4a35a40b149663563555","AccessRelationship","modification","","id-718716","id-472136",""
"id-25068948fa4842659a3579eb5dbdcb13","AccessRelationship","modification","","id-718693","id-472136",""
"id-8541c0e94b1446819b972af78def357b","AccessRelationship","modification","","id-718770","id-469274",""
"id-300c96e2e8f64253b68aad2c192d7ef1","AccessRelationship","modification","","id-736396","id-475214",""
"id-1e32961b90d84585a85c6e076a3da169","AccessRelationship","modification","","id-718709","id-469961",""
"id-c961ef8c5f7a40039d871b64684ce75a","AccessRelationship","modification","","id-718752","id-469451",""
"id-bbdb902d272541afbd544f40fa5dee06","AccessRelationship","modification","","id-718787","id-469105",""
"id-5ededb9aa900400cb029a2cbd0d1bed4","AccessRelationship","modification","","id-718737","id-722918",""
"id-4254a4baa35d4a97a9fafc24564b7044","AccessRelationship","modification","","id-736284","id-469282",""
"id-63826dc47b5e45d8ae0a59e28a8e4724","AccessRelationship","modification","","id-736314","id-736180",""
"id-1adb851754644e3eb65ce3cab25d73ee","AccessRelationship","modification","","id-718751","id-469451",""
